State,City,Hospital name,Address,Pincode,Contact number,Address,Status geocode,Formatted address,Latitude,Longitude,Type,Street,Postal code,City,Country,Region
Tamil Nadu,Chennai,Muthu Hospital,"No.-336, Paper mills road, Peranbur , Chennai",600011,7397310543,"No.-336, Paper mills road, Peranbur , Chennai",Ok,"465R+JRX, 336, Paper Mills Road, opp. Murasoli Maran Park, Bunder Garden, Perambur, Chennai, Tamil Nadu 600011, India",13.1091313,80.2421295,premise,Paper Mills Road,600011,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Muthu Hospital Enterprises Pvt Ltd,"105,Pulianthope High Road",600012,04443599416/43599417,"105,Pulianthope High Road",Ok,"105, Pulianthope High Road, Pattalam, Pulianthope, Chennai, Tamil Nadu 600012, India",13.0997129,80.2603343,street_address,Pulianthope High Road,600012,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Nichani Health Centre,"10 Arthoon Road, Royapuram, Chennai",600013,04425966540/25966499,"10 Arthoon Road, Royapuram, Chennai",Ok,"10, Arathoon Rd, Pudumanaikuppam, Royapuram, Chennai, Tamil Nadu 600013, India",13.1113174,80.2939529,premise,Arathoon Road,600013,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Noble Hospital,No.04 Audiappa Street Purasawalkam,600078,8608589777,No.04 Audiappa Street Purasawalkam,Ok,"4, Audiappa St, Purasaiwakkam, Chennai, Tamil Nadu 600084, India",13.0817901,80.2512335,premise,Audiappa Street,600084,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Orthomed Hospital Pvt Ltd,83 Old No 43 Roya Pettah High Road,600014,04428113122,83 Old No 43 Roya Pettah High Road,"Ok, partial match","20/43, Royapettah, Chennai, Tamil Nadu 600014, India",13.0584409,80.2716596,premise,,600014,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Parvathy Ortho Hospital Private Limited,"No.241, G.S.T. Rd, Chromepet, Kanchipuram",600044,04422382248,"No.241, G.S.T. Rd, Chromepet, Kanchipuram",Ok,"241, Grand Southern Trunk Rd, near MIT Bridge, Kamakshi Colony, Chromepet, Chennai, Tamil Nadu 600044, India",12.9458698,80.1365669,premise,Grand Southern Trunk Road,600044,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Ponamalligai Hospital Pvt. Ltd.,"1 Kakkan Nagar Main Road, Adambakkam",600088,9884020980,"1 Kakkan Nagar Main Road, Adambakkam",Ok,"1, Kakkan Nagar Main Rd, Ex Serviceman Colony, Kakkan Nagar, Adambakkam, Chennai, Tamil Nadu 600088, India",12.991573,80.2056943,subpremise,Kakkan Nagar Main Road,600088,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Prime Indian Hospitals Pvt Ltd,"1051, P.H. Road",600106,044 -23639999,"1051, P.H. Road",Ok,"1051, Poonamallee High Rd, Amaravathi Nagar, Arumbakkam, Chennai, Tamil Nadu 600106, India",13.076787,80.205881,street_address,Poonamallee High Road,600106,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Rakshith Hospital,"153, Arcot Road, Valasaravakkam, Chennai",600087,04442729999,"153, Arcot Road, Valasaravakkam, Chennai",Ok,"153, Arcot Rd, Subramanya Swamy Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087, India",13.0406369,80.1725864,premise,Arcot Road,600087,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Rathi Med Speciality Hospital,"Q- 102, 3Rd Avenue, Anna Nagar",600040,9841447007,"Q- 102, 3Rd Avenue, Anna Nagar",Ok,"q, Q/102, 3rd Ave, Block Q, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0916766,80.2179707,subpremise,3rd Avenue,600040,Chennai,India,Tamil Nadu
